canvas,page,label,content,width,height
0,colour,colour,,2700,3787
1,front,front,,2694,3708
2,pastedown,pastedown,,2711,3651
3,flyleaf,flyleaf,,2694,3708
4,flyleaf,flyleaf,,2739,3719
5,i,[i],,2694,3708
6,ii,[ii],,2711,3696
7,iii,iii,,2694,3708
8,iv,iv,,2694,3696
9,v,v,,2694,3708
10,vi,[vi],,2694,3696
11,vii,vii,,2694,3708
12,viii,viii,,2694,3696
13,ix,ix,,2711,3708
14,x,x,,2694,3696
15,xi,xi,,2711,3708
16,xii,xii,,2694,3696
17,xiii,xiii,,2711,3708
18,xiv,xiv,,2694,3696
19,1,1,,2711,3708
20,2,2,,2694,3696
21,3,3,,2722,3719
22,4,4,,2717,3696
23,5,5,,2722,3719
24,6,6,,2717,3696
25,7,7,,2722,3719
26,8,8,,2717,3708
27,9,9,,2722,3719
28,10,10,,2711,3713
29,11,11,,2722,3719
30,12,[12],blank,2711,3713
31,13,13,,2722,3719
32,14,14,,2711,3713
33,14a,[14a],blank,2795,3725
34,14b,[14b],insert,2711,3713
35,14c,[14c],blank,2767,3736
36,14d,[14d],insert,2711,3713
37,14e,[14e],blank,2728,3725
38,14f,[14f],insert,2683,3702
39,15,15,,2728,3725
40,16,16,,2683,3702
41,16a,[16a],blank,2767,3758
42,16b,[16b],insert,2683,3702
43,17,17,,2728,3725
44,18,18,,2683,3702
45,18a,[18a],insert,2728,3725
46,18b,[18b],blank,2683,3702
47,18c,[18c],insert,2705,3736
48,18d,[18d],insert,2666,3708
49,18e,[18e],insert,2683,3719
50,18f,[18f],insert,2666,3702
51,19,19,,2683,3719
52,20,20,,2666,3702
53,20a,[20a],insert,2683,3719
54,20b,[20b],blank,2666,3702
55,20c,[20c],blank,2683,3719
56,20d,[20d],insert,2632,3696
57,20e,[20e],blank,2683,3719
58,20f,[20f],insert,2654,3708
59,21,21,,2683,3719
60,22,22,,2654,3708
61,22a,[22a],insert,2683,3719
62,22b,[22b],blank,2654,3708
63,23,23,,2683,3719
64,24,24,,2654,3708
65,24a,[24a],blank,2683,3719
66,24b,[24b],insert,2654,3708
67,25,25,,2683,3719
68,26,26,,2654,3708
69,26a,[26a],blank,2643,3753
70,26b,[26b],insert,2654,3708
71,27,27,,2660,3719
72,28,28,,2654,3708
73,29,29,,2677,3719
74,30,30,,2654,3702
75,31,31,,2677,3719
76,32,32,,2654,3702
77,32a,[32a],insert,2677,3719
78,32b,[32b],blank,2654,3702
79,32c,[32c],insert,2739,3804
80,32d,[32d],insert,2654,3702
81,32e,[32e],blank,2677,3719
82,32f,[32f],insert,2654,3702
83,33,33,,2677,3719
84,34,34,,2626,3691
85,34a,[34a],insert,2677,3719
86,34b,[34b],blank,2638,3691
87,35,35,,2677,3719
88,36,36,,2638,3691
89,36a,[36a],blank,2677,3719
90,36b,[36b],insert,2660,3713
91,37,37,,2677,3719
92,38,38,,2660,3713
93,39,39,,2677,3719
94,40,40,,2660,3713
95,41,41,,2677,3719
96,42,42,,2660,3713
97,42a,[42a],blank,2560,3692
98,42b,[42b],insert,2609,3725
99,42c,[42c],blank,2677,3719
100,42d,[42d],insert,2638,3702
101,43,43,,2677,3719
102,44,44,,2638,3702
103,44a,[44a],insert,2677,3719
104,44b,[44b],blank,2621,3702
105,44c,[44c],insert,2638,3725
106,44d,[44d],blank,2621,3702
107,44e,[44e],insert,2638,3708
108,44f,[44f],blank,2604,3691
109,44g,[44g],insert,2638,3708
110,44h,[44h],blank,2649,3713
111,45,45,,2671,3719
112,46,46,,2654,3702
113,47,47,,2671,3719
114,48,48,,2632,3696
115,48a,[48a],insert,2671,3719
116,48b,[48b],blank,2632,3696
117,48c,[48c],insert,2671,3719
118,48d,[48d],blank,2615,3680
119,48e,[48e],insert,2649,3708
120,48f,[48f],blank,2615,3680
121,48g,[48g],insert,2649,3708
122,48h,[48h],blank,2615,3680
123,49,49,,2660,3725
124,50,50,,2632,3702
125,51,51,,2660,3725
126,52,52,,2632,3702
127,53,53,,2660,3725
128,54,54,,2632,3702
129,54a,[54a],insert,2660,3725
130,54b,[54b],blank,2632,3702
131,55,55,,2660,3713
132,56,56,,2654,3685
133,56a,[56a],insert,2660,3713
134,56b,[56b],blank,2654,3702
135,57,57,,2649,3713
136,58,58,,2638,3691
137,58a,[58a],insert,2649,3713
138,58b,[58b],blank,2638,3691
139,58c,[58c],insert,2649,3713
140,58d,[58d],blank,2638,3691
141,58e,[58e],blank,2649,3713
142,58f,[58f],insert,2638,3691
143,58g,[58g],blank,2677,3708
144,58h,[58h],insert,2604,3691
145,58i,[58i],blank,2666,3708
146,58j,[58j],insert,2632,3685
147,59,59,,2666,3708
148,60,60,,2621,3674
149,61,61,,2666,3708
150,62,62,,2621,3674
151,62a,[62a],blank,2666,3708
152,62b,[62b],insert,2621,3674
153,63,63,,2666,3708
154,64,[64],,2621,3674
155,65,65,,2666,3708
156,66,66,,2666,3696
157,66a,[66a],insert,2666,3708
158,66b,[66b],blank,2643,3691
159,66c,[66c],blank,2604,3713
160,66d,[66d],insert,2643,3691
161,67,67,,2666,3708
162,68,68,,2615,3702
163,69,69,,2666,3708
164,70,70,,2615,3702
165,71,71,,2666,3708
166,72,72,,2615,3702
167,72a,[72a],blank,2666,3708
168,72b,[72b],insert,2615,3702
169,72c,[72c],blank,2666,3708
170,72d,[72d],insert,2615,3702
171,73,73,,2666,3708
172,74,74,,2615,3702
173,75,75,,2666,3708
174,76,76,,2615,3702
175,76a,[76a],insert,2666,3708
176,76b,[76b],blank,2615,3702
177,77,77,,2666,3708
178,78,78,,2615,3702
179,79,79,,2666,3708
180,80,[80],,2615,3702
181,81,81,,2666,3708
182,82,82,,2615,3696
183,83,83,,2666,3708
184,84,84,,2615,3696
185,85,85,,2666,3708
186,86,86,,2615,3696
187,86a,[86a],blank,2654,3747
188,86b,[86b],insert,2615,3696
189,86c,[86c],blank,2677,3787
190,86d,[86d],insert,2615,3696
191,86e,[86e],blank,2700,3781
192,86f,[86f],insert,2615,3696
193,87,87,,2666,3708
194,88,88,,2615,3696
195,88a,[88a],insert,2666,3708
196,88b,[88b],blank,2615,3696
197,88c,[88c],insert,2666,3708
198,88d,[88d],blank,2615,3696
199,88e,[88e],insert,2666,3708
200,88f,[88f],blank,2615,3696
201,88g,[88g],insert,2632,3713
202,88h,[88h],blank,2615,3696
203,88i,[88i],insert,2632,3713
204,88j,[88j],blank,2615,3696
205,88k,[88k],insert,2632,3713
206,88l,[88l],blank,2615,3696
207,88m,[88m],blank,2632,3713
208,88n,[88n],insert,2638,3696
209,89,89,,2660,3713
210,90,90,,2638,3696
211,90a,[90a],blank,2660,3713
212,90b,[90b],insert,2598,3685
213,90c,[90c],blank,2660,3713
214,90d,[90d],insert,2621,3691
215,91,91,,2654,3719
216,92,92,,2621,3691
217,93,93,,2654,3719
218,94,94,,2621,3691
219,95,95,,2654,3719
220,96,96,,2621,3691
221,97,97,,2654,3719
222,98,98,,2621,3691
223,99,99,,2654,3719
224,100,100,,2621,3691
225,101,101,,2654,3719
226,102,102,,2621,3691
227,103,103,,2654,3719
228,104,104,,2621,3691
229,105,105,,2654,3719
230,106,106,,2671,3770
231,106a,[106a],insert,2711,3804
232,106b,[106b],insert,2621,3691
233,107,107,,2654,3719
234,108,108,,2621,3691
235,109,109,,2654,3719
236,110,110,,2621,3691
237,111,111,,2654,3719
238,112,112,,2621,3691
239,113,113,,2654,3719
240,114,114,,2621,3691
241,114a,[114a],blank,2733,3736
242,114b,[114b],insert,2621,3691
243,115,115,,2654,3719
244,116,116,,2683,3708
245,116a,[116a],insert,2654,3719
246,116b,[116b],blank,2621,3691
247,116c,[116c],blank,2654,3719
248,116d,[116d],insert,990,2326
249,116e,[116e],insert,990,2394
250,116f,[116f],blank,1001,2456
251,116g,[116g],insert,2260,3465
252,116h,[116h],blank,968,2450
253,116i,[116i],insert,2621,3708
254,116j,[116j],blank,2654,3696
255,116k,[116k],insert,2700,3736
256,116l,[116l],blank,2677,3713
257,117,117,,2609,3713
258,118,118,,2626,3685
259,118a,[118a],insert,2609,3713
260,118b,[118b],blank,2632,3696
261,118c,[118c],insert,2643,3730
262,118d,[118d],blank,2632,3696
263,119,119,,2643,3730
264,120,120,,2654,3691
265,121,121,,2643,3730
266,122,122,,2654,3691
267,123,123,,2643,3730
268,124,124,,2654,3691
269,124a,[124a],insert,2643,3730
270,124b,[124b],blank,2654,3691
271,124c,[124c],insert,2643,3730
272,124d,[124d],blank,2621,3696
273,124e,[124e],insert,2643,3730
274,124f,[124f],blank,2621,3696
275,124g,[124g],insert,2654,3725
276,124h,[124h],blank,2621,3696
277,125,125,,2654,3725
278,126,126,,2621,3696
279,126a,[126a],insert,1684,2349
280,126b,[126b],blank,2192,3138
281,126c,[126c],insert,1819,2879
282,126d,[126d],insert,1797,2856
283,126e,[126e],blank,2575,3708
284,126f,[126f],insert,2621,3696
285,126g,[126g],insert,2654,3725
286,126h,[126h],blank,2621,3696
287,127,127,,2643,3719
288,128,128,,2654,3680
289,129,129,,2649,3719
290,130,130,,2632,3696
291,131,131,,2649,3719
292,132,132,,2632,3696
293,133,133,,2649,3719
294,134,134,,2632,3696
295,135,135,,2649,3719
296,136,136,,2632,3696
297,137,137,,2649,3719
298,138,138,,2632,3696
299,139,139,,2677,3708
300,140,140,,2632,3696
301,141,141,,2677,3708
302,142,142,,2632,3696
303,143,143,,2677,3708
304,144,144,,2632,3696
305,145,145,,2666,3719
306,146,146,,2632,3696
307,147,147,,2666,3719
308,148,148,,2632,3696
309,149,149,,2666,3719
310,150,150,,2632,3696
311,151,151,,2666,3719
312,152,152,,2632,3696
313,153,153,,2666,3719
314,154,154,,2632,3696
315,155,155,,2666,3719
316,156,156,,2632,3696
317,157,157,,2666,3719
318,158,158,,2632,3696
319,159,159,,2666,3719
320,160,160,,2632,3696
321,161,161,,2666,3719
322,162,162,,2632,3696
323,163,163,,2666,3719
324,164,164,,2632,3696
325,165,165,,2666,3719
326,166,166,,2632,3696
327,167,167,,2666,3719
328,168,168,,2632,3696
329,169,169,,2666,3719
330,170,170,,2632,3696
331,170a,[170a],insert,2666,3719
332,170b,[170b],blank,2632,3696
333,171,171,,2666,3719
334,172,172,,2632,3696
335,172a,[172a],insert,2666,3719
336,173a,[173a],blank,2632,3696
337,173,173,,2666,3719
338,174,174,,2632,3696
339,174a,[174a],insert,2666,3719
340,174b,[174b],blank,2632,3696
341,174c,[174c],insert,2677,3719
342,174d,[174d],blank,2677,3696
343,175,175,,2683,3725
344,176,176,,2677,3696
345,177,177,,2683,3725
346,178,178,,2677,3696
347,179,179,,2683,3725
348,180,180,,2677,3696
349,180a,[180a],insert,2683,3725
350,180b,[180b],blank,2677,3696
351,181,181,,2683,3725
352,182,182,,2677,3696
353,183,183,,2683,3725
354,184,184,,2677,3696
355,185,185,,2683,3725
356,186,186,,2677,3696
357,187,187,,2683,3725
358,188,188,,2677,3696
359,189,189,,2683,3725
360,190,190,,2677,3696
361,191,191,,2711,3713
362,192,192,,2683,3680
363,193,193,,2717,3702
364,194,194,,2683,3680
365,195,195,,2717,3702
366,196,196,,2683,3680
367,197,197,,2717,3702
368,198,198,,2683,3680
369,199,199,,2717,3702
370,200,200,,2683,3680
371,201,201,,2717,3702
372,202,202,,2683,3680
373,203,203,,2717,3702
374,204,204,,2683,3680
375,205,205,,2717,3702
376,206,206,,2683,3680
377,207,207,,2773,3820
378,208,[208],,2717,3702
379,pastedown,pastedown,blank,2683,3680
380,back,back,insert,2773,3820
